median,lci,uci,efficiency,failure_to_report,state,estimated_loss,per_capita_median,per_capita_lci,per_capita_uci
205.5388331018412,41.70084915934713,429.1033622693093,0.0,0.5,Oregon,138394.1193,8.06461494704324,1.6361934451006366,16.836494286551353
246.64659972221125,50.041018991215886,514.9240347231699,0.0,0.6,Oregon,166072.94316,9.677537936451957,1.9634321341207377,20.203793143861574
287.7543663425795,58.38118882308459,600.7447071770308,0.0,0.7,Oregon,193751.76701999997,11.290460925860605,2.290670823140837,23.57109200117181
328.86213296294954,66.72135865495507,686.5653796308916,0.0,0.8,Oregon,221430.59088,12.903383915269323,2.617909512161005,26.938390858482034
369.9698995833178,75.06152848682382,772.3860520847542,0.0,0.9,Oregon,249109.41473999998,14.516306904677972,2.945148201181106,30.305689715792333
194.629108969777,39.48742431142073,406.32713436214146,0.1,0.5,Oregon,131048.34604499998,7.636556059212689,1.5493465031220397,15.942835870545858
233.55493076373114,47.38490917370419,487.5925612345695,0.1,0.6,Oregon,157258.01525399997,9.163867271055176,1.8592158037464206,19.13140304465502
272.48075255768526,55.28239403598941,568.8579881069991,0.1,0.7,Oregon,183467.68446299995,10.691178482897664,2.169085104370871,22.319970218764244
311.4065743516403,63.17987889827287,650.1234149794253,0.1,0.8,Oregon,209677.353672,12.218489694740187,2.4789544049952514,25.508537392873333
350.33239614559534,71.0773637605581,731.3888418518533,0.1,0.9,Oregon,235887.02288099998,13.74580090658271,2.788823705619702,28.697104566982492
183.71938483770919,37.2739994634926,383.550906454972,0.2,0.5,Oregon,123702.57279,7.208497171381996,1.4624995611433746,15.0491774545403
220.4632618052492,44.72879935619076,460.26108774596884,0.2,0.6,Oregon,148443.087348,8.650196605658325,1.7549994733720355,18.059012945448455
257.20713877279013,52.18359924889246,536.9712690369639,0.2,0.7,Oregon,173183.601906,10.091896039934687,2.0474993856008354,21.068848436356543
293.9510157403329,59.63839914159067,613.6814503279572,0.2,0.8,Oregon,197924.11646400002,11.533595474211122,2.3399992978294977,24.07868392726456
330.6948927078756,67.09319903429059,690.3916316189524,0.2,0.9,Oregon,222664.63102200002,12.975294908487557,2.632499210058228,27.08851941817265
172.80966070564227,35.06057461556802,360.774678547806,0.30000000000000004,0.5,Oregon,116356.79953499998,6.780438283551339,1.375652619164849,14.155519038534878
207.37159284676727,42.07268953868084,432.92961425737,0.30000000000000004,0.6,Oregon,139628.15944199997,8.136525940261471,1.650783142997788,16.986622846241964
241.93352498789773,49.084804461795514,505.08454996692876,0.30000000000000004,0.7,Oregon,162899.51934899998,9.492613596971818,1.9259136668307997,19.817726653948842
276.49545712902545,56.09691938490847,577.239485676491,0.30000000000000004,0.8,Oregon,186170.879256,10.848701253682057,2.201044190663744,22.64883046165586
311.0573892701532,63.109034308019595,649.3944213860515,0.30000000000000004,0.9,Oregon,209442.23916299996,12.204788910392296,2.476174714496617,25.479934269362808
161.89993657357354,32.847149767639806,337.99845064064,0.4,0.5,Oregon,109011.02627999999,6.352379395720611,1.2888056771861807,13.261860622529456
194.27992388828807,39.416579721169185,405.5981407687659,0.4,0.6,Oregon,130813.23153599998,7.622855274864726,1.5465668126234724,15.914232747035266
226.6599112030035,45.98600967469684,473.1978308968953,0.4,0.7,Oregon,152615.43679199996,8.893331154008877,1.8043279480606966,18.566604871541212
259.0398985177171,52.55543962822626,540.7975210250247,0.4,0.8,Oregon,174417.642048,10.163807033152956,2.06208908349799,21.218976996047157
291.41988583243165,59.124869581752094,608.3972111531506,0.4,0.9,Oregon,196219.847304,11.434282912297071,2.3198502189351426,23.871349120552964
150.99021244150663,30.63372491971527,315.22222273347234,0.5,0.5,Oregon,101665.253025,5.924320507889954,1.2019587352076568,12.368202206523968
181.18825492980704,36.76046990365754,378.26666728016704,0.5,0.6,Oregon,121998.30363,7.109184609467909,1.4423504822491573,14.841842647828772
211.38629741810837,42.887214887599846,441.3111118268637,0.5,0.7,Oregon,142331.35423499998,8.2940487110459,1.6827422292906593,17.31548308913365
241.5843399064097,49.01395987154397,504.35555637355486,0.5,0.8,Oregon,162664.40484,9.478912812623891,1.9231339763322326,19.789123530438314
271.782382394711,55.14070485548451,567.4000009202515,0.5,0.9,Oregon,182997.455445,10.66377691420188,2.1635257233736653,22.262763971743194
140.0804883094388,28.420300071787054,292.4459948263045,0.6000000000000001,0.5,Oregon,94319.47976999999,5.496261620059261,1.1151117932289885,11.474543790518474
168.0965859713242,34.10436008614588,350.93519379156646,0.6000000000000001,0.6,Oregon,113183.37572399998,6.595513944071021,1.3381341518748417,13.76945254862221
196.11268363321324,39.78842010050294,409.42439275682847,0.6000000000000001,0.7,Oregon,132047.271678,7.694766268082923,1.5611565105206255,16.06436130672595
224.12878129510136,45.47248011486,467.9135917220904,0.6000000000000001,0.8,Oregon,150911.167632,8.79401859209479,1.7841788691664093,18.359270064829683
252.1448789569895,51.156540129218826,526.4027906873506,0.6000000000000001,0.9,Oregon,169775.06358599997,9.893270916106657,2.0072012278122626,20.65417882293335
129.17076417737098,26.2068752238607,269.66976691913857,0.7000000000000001,0.5,Oregon,86973.706515,5.068202732228569,1.0282648512503931,10.580885374513054
155.0049170128459,31.448250268634233,323.60372030296594,0.7000000000000001,0.6,Oregon,104368.447818,6.081843278674311,1.2339178215005264,12.697062449415652
180.83906984831992,36.68962531340776,377.53767368679326,0.7000000000000001,0.7,Oregon,121763.18912099999,7.095483825120017,1.4395707917506595,14.813239524318247
206.67322268379303,41.93100035817779,431.47162707062057,0.7000000000000001,0.8,Oregon,139157.930424,8.109124371565688,1.6452237620006553,16.929416599220843
232.50737551926795,47.172375402951324,485.4055804544497,0.7000000000000001,0.9,Oregon,156552.671727,9.12276491801143,1.8508767322507886,19.04559367412351
