median,lci,uci,efficiency,failure_to_report,state,estimated_loss,per_capita_median,per_capita_lci,per_capita_uci
173.23010297613746,35.049580882103925,362.91932462178016,0.0,0.5,Kentucky,116235.5103,6.549203889988482,1.3250979333953359,13.72066754986785
207.8761235713646,42.05949705852513,435.5031895461362,0.0,0.6,Kentucky,139482.61236,7.859044667986165,1.5901175200744189,16.46480105984142
242.52214416659262,49.06941323494803,508.0870544704922,0.0,0.7,Kentucky,162729.71441999997,9.168885445983882,1.855137106753566,19.20893456981499
277.16816476181884,56.07932941136747,580.6709193948483,0.0,0.8,Kentucky,185976.81648,10.47872622398153,2.120156693432582,21.95306807978856
311.8141853570469,63.08924558778854,653.2547843192043,0.0,0.9,Kentucky,209223.91853999998,11.788567001979247,2.38517628011166,24.69720158976213
164.54194704404654,33.291709595148454,344.71752465218833,0.1,0.5,Kentucky,110405.85239999999,6.2207361257274725,1.258639175518746,13.032523300585357
197.45033645285457,39.95005151417745,413.66102958262593,0.1,0.6,Kentucky,132487.02287999997,7.464883350872919,1.5103670106224691,15.639027960702427
230.3587258616626,46.60839343321,482.60453451306364,0.1,0.7,Kentucky,154568.19335999998,8.709030576018366,1.7620948457263261,18.2455326208195
263.26711527047246,53.26673535223895,551.5480394435031,0.1,0.8,Kentucky,176649.36384,9.95317780116388,2.0138226808300477,20.85203728093664
296.1755046792823,59.92507727126791,620.4915443739371,0.1,0.9,Kentucky,198730.53431999998,11.197325026309395,2.265550515933769,23.45854194105357
155.8537911119547,31.533838308192983,326.5157246825982,0.2,0.5,Kentucky,104576.19450000001,5.892268361466428,1.1921804176421562,12.344379051302928
187.02454933434456,37.84060596983154,391.8188696191175,0.2,0.6,Kentucky,125491.43340000001,7.070722033759672,1.4306165011705863,14.813254861563502
218.19530755673622,44.1473736314701,457.122014555635,0.2,0.7,Kentucky,146406.6723,8.249175706052986,1.669052584699016,17.282130671824007
249.36606577912698,50.45414129310866,522.4251594921543,0.2,0.8,Kentucky,167321.91120000003,9.427629378346264,1.907488668227446,19.75100648208458
280.53682400151683,56.76090895474909,587.7283044286736,0.2,0.9,Kentucky,188237.15010000003,10.606083050639509,2.1459247517559463,22.21988229234515
147.16563517986287,29.775967021237424,308.31392471300455,0.30000000000000004,0.5,Kentucky,98746.53659999999,5.563800597205384,1.1257216597655633,11.656234802020368
176.59876221583363,35.73116042548377,369.97670965560366,0.30000000000000004,0.6,Kentucky,118495.84391999998,6.676560716646392,1.350865991718633,13.987481762424371
206.03188925180712,41.68635382973203,431.6394945982064,0.30000000000000004,0.7,Kentucky,138245.15123999998,7.789320836087503,1.5760103236717746,16.318728722828514
235.46501628777787,47.64154723397838,493.3022795408074,0.30000000000000004,0.8,Kentucky,157994.45856,8.902080955528511,1.8011546556248446,18.64997568323259
264.89814332375136,53.596740638226635,554.9650644834064,0.30000000000000004,0.9,Kentucky,177743.76588,10.014841074969622,2.026298987577986,20.981222643636595
138.47747924777013,28.018095734281953,290.1121247434127,0.4,0.5,Kentucky,92916.8787,5.235332832944305,1.0592629018889734,10.968090552737873
166.17297509732543,33.62171488113786,348.1345496920953,0.4,0.6,Kentucky,111500.25444,6.282399399533214,1.2711154822667499,13.161708663285449
193.868470946878,39.22533402799391,406.1569746407778,0.4,0.7,Kentucky,130083.63018,7.3294659661220205,1.4829680626445316,15.355326773833022
221.5639667964315,44.82895317484995,464.1793995894604,0.4,0.8,Kentucky,148667.00592,8.376532532710861,1.6948206430223132,17.5489448843806
249.25946264598588,50.43257232170418,522.2018245381429,0.4,0.9,Kentucky,167250.38166,9.423599099299736,1.906673223400026,19.74256299492817
129.7893233156783,26.260224447324575,271.91032477382083,0.5,0.5,Kentucky,87087.2208,4.9068650686832616,0.9928041440123117,10.279946303455379
155.74718797881542,31.512269336791952,326.2923897285868,0.5,0.6,Kentucky,104504.66496,5.888238082419968,1.191364972814867,12.335935564146522
181.7050526419498,36.764314226255834,380.674454683351,0.5,0.7,Kentucky,121922.10911999998,6.869611096156572,1.3899258016172902,14.391924824837599
207.66291730508692,42.016359115721436,435.0565196381151,0.5,0.8,Kentucky,139339.55328,7.85098410989328,1.5884866304197787,16.447914085528673
233.62078196822222,47.26840400518527,489.43858459287935,0.5,0.9,Kentucky,156756.99744,8.832357123629919,1.7870474592221999,18.50390334621975
121.10116738358829,24.502353160367285,253.70852480422903,0.6000000000000001,0.5,Kentucky,81257.56289999999,4.578397304422285,0.9263453861356531,9.591802054172888
145.3214008603045,29.402823792442543,304.4502297650766,0.6000000000000001,0.6,Kentucky,97509.07547999998,5.494076765306688,1.1116144633628517,11.51016246500753
169.5416343370216,34.30329442451594,355.1919347259206,0.6000000000000001,0.7,Kentucky,113760.58805999998,6.409756226191124,1.2968835405899801,13.42852287584204
193.76186781374054,39.20376505658947,405.9336396867664,0.6000000000000001,0.8,Kentucky,130012.10063999999,7.32543568707563,1.4821526178171134,15.346883286676618
217.98210129045674,44.10423568866464,456.6753446476122,0.6000000000000001,0.9,Kentucky,146263.61322,8.241115147960032,1.6674216950443088,17.265243697511195
112.41301145149555,22.744481873413545,235.5067248346389,0.7000000000000001,0.5,Kentucky,75427.905,4.249929540161207,0.8598866282591288,8.903657804890459
134.8956137417954,27.29337824809486,282.60806980156457,0.7000000000000001,0.6,Kentucky,90513.48599999999,5.099915448193476,1.0318639539109018,10.684389365868471
157.37821603209522,31.84227462277786,329.7094147684938,0.7000000000000001,0.7,Kentucky,105599.067,5.9499013562257455,1.2038412795627387,12.465120926846616
179.86081832239324,36.391170997459135,376.8107597354194,0.7000000000000001,0.8,Kentucky,120684.648,6.799887264257945,1.37581860521451,14.245852487824628
202.34342061269308,40.940067372142224,423.91210470234864,0.7000000000000001,0.9,Kentucky,135770.229,7.6498731722902145,1.5477959308663503,16.026584048802775
103.72485551940463,20.986610586456212,217.30492486504525,0.8,0.5,Kentucky,69598.2471,3.9214617759001973,0.7934278703824686,8.215513555607897
124.46982662328355,25.18393270374891,260.76590983805613,0.8,0.6,Kentucky,83517.89652,4.705754131080162,0.9521134444590174,9.858616266729545
145.2147977271652,29.381254821039786,304.2268948110634,0.8,0.7,Kentucky,97437.54593999998,5.490046486260228,1.1107990185354972,11.501718977851057
165.95976883104686,33.57857693833066,347.68787978407244,0.8,0.8,Kentucky,111357.19536,6.274338841440295,1.269484592611977,13.144821688972636
186.70473993492487,37.775899055621636,391.1488647570815,0.8,0.9,Kentucky,125276.84477999998,7.058631196620224,1.4281701666884608,14.787924400094218
95.0366995873128,19.228739299500695,199.10312489545515,0.9,0.5,Kentucky,63768.589199999995,3.592994011639153,0.7269691125058771,7.527369306325469
114.04403950477536,23.074487159401226,238.9237498745423,0.9,0.6,Kentucky,76522.30703999999,4.311592813966984,0.8723629350070674,9.032843167590416
