median,lci,uci,current_uncontrolled,insurance_loss,state,scenario,disease
454.40496529781376,452.7244039782505,456.2869856882271,9932.614293028426,25750.63613,Alaska,Limited_Exemption,diabetes
552.3511449884973,552.3511449884973,552.3511449884973,153274.22505057036,25750.63613,Alaska,Limited_Exemption,hypertension
154.50381678000122,154.50381678000122,154.50381678000122,32295.23805413355,25750.63613,Alaska,Limited_Exemption,cholesterol
3781.5928575493162,3773.87102335938,3790.186339101191,97451.9583563621,213842.2392,Arizona,Limited_Exemption,diabetes
4586.916030840017,4586.916030840017,4586.916030840017,1503820.9434162618,213842.2392,Arizona,Limited_Exemption,hypertension
1283.0534352000104,1283.0534352000104,1283.0534352000104,316858.59342884447,213842.2392,Arizona,Limited_Exemption,cholesterol
1854.2243362654808,1849.875083389934,1859.0694870980726,40608.613333685906,103562.341,Arkansas,Limited_Exemption,diabetes
2221.412214449956,2221.412214449956,2221.412214449956,626648.0863419502,103562.341,Arkansas,Limited_Exemption,hypertension
621.3740460000117,621.3740460000117,621.3740460000117,132036.21886134736,103562.341,Arkansas,Limited_Exemption,cholesterol
36254.95459021657,36225.38303912165,36287.709736087025,557017.8213884538,1976081.425,California,Limited_Exemption,diabetes
42386.946566250175,42386.946566250175,42386.946566250175,8595569.34296713,1976081.425,California,Limited_Exemption,hypertension
11856.488549999893,11856.488549999893,11856.488549999893,1811106.583969663,1976081.425,California,Limited_Exemption,cholesterol
3075.5504254918487,3070.4721824708736,3081.1924875684713,83388.41520924402,168498.7277,Colorado,Limited_Exemption,diabetes
3614.297709164908,3614.297709164908,3614.297709164908,1286800.6692219083,168498.7277,Colorado,Limited_Exemption,hypertension
1010.9923662000219,1010.9923662000219,1010.9923662000219,271131.91358187364,168498.7277,Colorado,Limited_Exemption,cholesterol
2918.02276799655,2911.738408407933,2925.0163605789626,50508.062082224875,156183.2061,Connecticut,Limited_Exemption,diabetes
3350.129770844942,3350.129770844942,3350.1297708450584,779410.5203393262,156183.2061,Connecticut,Limited_Exemption,hypertension
937.0992366000137,937.0992366000137,937.0992366000137,164223.62134239983,156183.2061,Connecticut,Limited_Exemption,cholesterol
588.821791009349,586.3023443782572,591.6473832929381,13456.34919109509,31908.39695,Delaware,Limited_Exemption,diabetes
