median,lci,uci,insurance_loss
7049.060313568392,1443.1410988042628,14525.870663296373,4800000
8077.048275963811,1653.599175713197,16644.22680169365,5500000
9251.891661558417,1894.122692180431,19065.20524557644,6300000
