median,lci,uci,current_uncontrolled,insurance_loss,state,scenario,disease
415.87932700044075,414.34124805338155,417.60178479280444,9932.614293028426,23567.430027000002,Alaska,Efficiency_based_Exemption,diabetes
505.5213740791369,505.5213740791369,505.5213740791369,153274.22505057036,23567.430027000002,Alaska,Efficiency_based_Exemption,hypertension
141.40458016200137,141.40458016200137,141.40458016200137,32295.23805413355,23567.430027000002,Alaska,Efficiency_based_Exemption,cholesterol
2774.81800451826,2769.1519570759992,2781.1236403256717,97451.9583563621,156910.94145,Arizona,Efficiency_based_Exemption,diabetes
3365.7396941024344,3365.7396941024344,3365.7396941024344,1503820.9434162618,156910.94145,Arizona,Efficiency_based_Exemption,hypertension
941.4656487000175,941.4656487000175,941.4656487000175,316858.59342884447,156910.94145,Arizona,Efficiency_based_Exemption,cholesterol
1510.4411211624247,1506.8982432802434,1514.387954839809,40608.613333685906,84361.323164,Arkansas,Efficiency_based_Exemption,diabetes
1809.5503818677971,1809.5503818677971,1809.5503818677971,626648.0863419502,84361.323164,Arkansas,Efficiency_based_Exemption,hypertension
506.1679389839992,506.1679389839992,506.1679389839992,132036.21886134736,84361.323164,Arkansas,Efficiency_based_Exemption,cholesterol
27066.32635610347,27044.249559653406,27090.779881917937,557017.8213884538,1475253.9441799999,California,Efficiency_based_Exemption,diabetes
31644.197102660313,31644.197102660313,31644.197102660313,8595569.34296713,1475253.9441799999,California,Efficiency_based_Exemption,hypertension
8851.52366508008,8851.52366508008,8851.52366508008,1811106.583969663,1475253.9441799999,California,Efficiency_based_Exemption,cholesterol
2531.1473474412705,2526.9680040477515,2535.7907082982156,83388.41520924402,138672.77354,Colorado,Efficiency_based_Exemption,diabetes
2974.530992432963,2974.530992432963,2974.530992432963,1286800.6692219083,138672.77354,Colorado,Efficiency_based_Exemption,hypertension
832.0366412400035,832.0366412400035,832.0366412400035,271131.91358187364,138672.77354,Colorado,Efficiency_based_Exemption,cholesterol
2113.213262255489,2108.6621695864756,2118.2779768828113,50508.062082224875,113106.870204,Connecticut,Efficiency_based_Exemption,diabetes
2426.1423658757703,2426.1423658757703,2426.1423658757703,779410.5203393262,113106.870204,Connecticut,Efficiency_based_Exemption,hypertension
678.6412212240102,678.6412212240102,678.6412212240102,164223.62134239983,113106.870204,Connecticut,Efficiency_based_Exemption,cholesterol
955.3347111945013,952.2673179205167,958.760171078464,10516.384808242663,49760.3053464,District of Columbia,Efficiency_based_Exemption,diabetes
1067.3585496802698,1067.3585496802698,1067.3585496802698,162282.62613080128,49760.3053464,District of Columbia,Efficiency_based_Exemption,hypertension
298.56183207839786,298.56183207839786,298.56183207839786,34193.3292516404,49760.3053464,District of Columbia,Efficiency_based_Exemption,cholesterol
913.2286667685967,911.2976441657433,915.3770425634008,18575.828872282254,47963.35877960001,Hawaii,Efficiency_based_Exemption,diabetes
1028.8140458224225,1028.8140458224225,1028.8140458224225,286651.1968625906,47963.35877960001,Hawaii,Efficiency_based_Exemption,hypertension
287.780152677602,287.780152677602,287.780152677602,60398.078268706384,47963.35877960001,Hawaii,Efficiency_based_Exemption,cholesterol
456.26578647369024,454.79803046702983,457.9062534719892,25126.711597638812,25560.3053439,Idaho,Efficiency_based_Exemption,diabetes
548.2685496266349,548.2685496266349,548.2685496266349,387740.5418732941,25560.3053439,Idaho,Efficiency_based_Exemption,hypertension
153.36183206339774,153.36183206339774,153.36183206339774,81697.83992648002,25560.3053439,Idaho,Efficiency_based_Exemption,cholesterol
5441.127933951473,5433.481933674592,5449.6151449600675,177085.98940668924,297162.34096,Illinois,Efficiency_based_Exemption,diabetes
6374.132213592064,6374.132213592064,6374.132213592064,2732686.1783684613,297162.34096,Illinois,Efficiency_based_Exemption,hypertension
1782.9740457599983,1782.9740457599983,1782.9740457599983,575783.3753752945,297162.34096,Illinois,Efficiency_based_Exemption,cholesterol
1675.8628249185786,1673.1086222594197,1678.9226884825534,93122.69660542141,91599.49110690001,Indiana,Efficiency_based_Exemption,diabetes
1964.8090842429083,1964.8090842429083,1964.8090842429083,1437014.3383936288,91599.49110690001,Indiana,Efficiency_based_Exemption,hypertension
549.5969466413953,549.5969466413953,549.5969466413953,302782.28534715256,91599.49110690001,Indiana,Efficiency_based_Exemption,cholesterol
1081.4873923317973,1079.9614833831372,1083.1810144455314,43042.46084996371,57631.043257,Iowa,Efficiency_based_Exemption,diabetes
1236.1858778626192,1236.1858778626192,1236.1858778626192,664205.7807155827,57631.043257,Iowa,Efficiency_based_Exemption,hypertension
