median,lci,uci,insurance_loss
4776.5818249132135,4775.276394672392,4778.026204227799,4800000
5473.166674379725,5471.670868895575,5474.82169234432,5500000
6269.263645198487,6267.550268007506,6271.159393048763,6300000
