median,lci,uci,insurance_loss,state,scenario,per_capita_median,per_capita_lci,per_capita_uci
37.40849553238206,7.722462248212486,76.46997032894888,25750.63613,Alaska,Limited_Exemption,8.756963665998152,1.8077530346308734,17.90087364328498
310.98644801927367,64.15533720422509,635.2083902724911,213842.2392,Arizona,Limited_Exemption,7.419895170221021,1.5306965293742594,15.155578955564721
151.54610266410555,31.108806725272487,311.6632930429378,103562.341,Arkansas,Limited_Exemption,8.677077744431154,1.7811974689310646,17.8449104020379
2926.9184706579035,595.1562192987676,6086.865867060212,1976081.425,California,Limited_Exemption,12.217670585501224,2.4843270173734022,25.408060664278395
248.94172874330343,50.7178743209654,516.7817903143354,168498.7277,Colorado,Limited_Exemption,6.941268714688088,1.4141718870387237,14.409481654754073
233.40793128491714,47.11822413093615,490.88360706742264,156183.2061,Connecticut,Limited_Exemption,10.74488521255372,2.1690775755528215,22.597724000326714
47.396949698967546,9.6124100583413,99.26654941839547,31908.39695,Delaware,Limited_Exemption,8.1897382358432,1.6609322476107855,17.152307489732003
96.63910211696964,19.301883223021306,206.5056773301823,63816.79389,District of Columbia,Limited_Exemption,21.36649539527482,4.26756447411568,45.657528962064475
91.18671832175573,18.273247498605567,193.73409834994092,60458.01527,Hawaii,Limited_Exemption,11.413800078961327,2.287254082404051,24.249609019173235
45.804381297115924,9.412952439852393,94.14497307104887,31348.60051,Idaho,Limited_Exemption,4.238559096762107,0.8710379675805724,8.711809235808701
591.4336135774465,120.34873365730792,1229.4758231138078,399694.6565,Illinois,Limited_Exemption,7.765486656732928,1.580171407095973,16.142941287045723
177.19391438806178,36.067117666465585,368.2945291075084,119796.4377,Indiana,Limited_Exemption,4.424254844492819,0.9005395056248261,9.195738240962278
104.79831510297163,21.121031525172796,220.73674433862487,69974.55471,Iowa,Limited_Exemption,5.661142457753991,1.1409455218934696,11.924067234610943
249.4513483869805,50.471396490734016,522.6038276676786,167379.1349,Kentucky,Limited_Exemption,9.43085360541481,1.9081410248644795,19.757761279836572
288.88134025214094,59.08190985712204,596.7938734417344,196488.5496,Louisiana,Limited_Exemption,10.775574773469932,2.2038167535125543,22.261032858706773
57.229897888549885,11.631447726651187,119.3683847391179,38625.9542,Maine,Limited_Exemption,7.049554156917828,1.4327567180369112,14.703746186668887
250.12339956338928,50.633069128010455,523.6973582973754,167938.9313,Maryland,Limited_Exemption,6.76536858647068,1.3695295038896462,14.165030792110407
297.3166731464826,59.297527944235306,635.2053791754357,195928.7532,Massachusetts,Limited_Exemption,6.861165795094384,1.3684068443218216,14.658610882246846
444.67414315700444,89.70474786349642,935.0357543323498,297251.9084,Michigan,Limited_Exemption,7.461466994982598,1.505212357805993,15.689552737533822
169.73174287077927,34.14748650395646,358.3187804549341,113078.8804,Minnesota,Limited_Exemption,5.021059223112477,1.0101619718082626,10.599901862713967
164.6081069014117,33.7988228310815,338.2720949500916,112519.084,Missouri,Limited_Exemption,4.561989756303545,0.9367089290618033,9.374956440814419
55.94095536847385,11.442819038384256,115.76524832435516,38066.15776,Montana,Limited_Exemption,8.77974429763992,1.7959118599143176,18.168965333999715
33.07496701260743,6.739257049807134,68.68782016897805,22391.85751,Nebraska,Limited_Exemption,2.927990242891704,0.596598596112064,6.080649065609237
122.49654893839534,25.33784482372446,249.67216326130995,84529.26209,Nevada,Limited_Exemption,6.500743106302421,1.3446486574019638,13.249798530837163
33.42365320265458,6.753090114892064,70.27197704465061,22391.85751,New Hampshire,Limited_Exemption,3.9431938645177653,0.7967035603834905,8.290417180010472
322.47618610178324,65.7117150628059,669.2067322797308,218320.6107,New Jersey,Limited_Exemption,5.7752778962380935,1.1768416766326302,11.984931029074462
149.33395663519696,30.743962885475163,306.349632265715,102442.7481,New Mexico,Limited_Exemption,12.361748099822844,2.544961195322483,25.359382888336036
1669.983878067982,336.8641605461384,3511.8352794814537,1116234.097,New York,Limited_Exemption,13.787840322729249,2.7812419730864684,28.994665582781398
418.42309329208365,86.46001124391132,852.483815663525,288295.1654,North Carolina,Limited_Exemption,6.703248870310992,1.3851122989840705,13.65701670370267
13.33234270966068,2.700035469809723,27.90735750464677,8956.743003,North Dakota,Limited_Exemption,2.943347256277528,0.5960799362109044,6.161036055706726
407.0544414845481,82.50662268862835,850.6483964242622,273740.458,Ohio,Limited_Exemption,5.886694539436267,1.1931850773501853,12.301812140774805
135.95191017069828,28.445226380855733,272.6700854309679,95165.3944,Oklahoma,Limited_Exemption,5.910992664098608,1.23675735232223,11.855301427379082
295.9759196785344,60.04922279186913,617.9088416926069,199287.5318,Oregon,Limited_Exemption,11.613045524208514,2.3561185610394477,24.24455177360707
475.24769701116566,95.93805653046657,998.4387079675437,317964.3766,Pennsylvania,Limited_Exemption,6.202410190640704,1.2520779863576057,13.030523779439875
56.396498571646816,11.328641974932475,119.4792778144781,37506.36132,Rhode Island,Limited_Exemption,8.414025708410039,1.6901667165978373,17.82560514596728
21.293342289485622,4.37161768096251,43.80451644633026,14554.70738,South Dakota,Limited_Exemption,4.211778541522308,0.8646968282433126,8.664441677693596
53.62112286430511,10.946096784599469,111.07319397587484,36386.76845,Utah,Limited_Exemption,2.749465456242281,0.5612697642699945,5.695365811790219
41.25744399707719,8.285722630411733,87.42265165790612,27430.02545,Vermont,Limited_Exemption,10.686498229688011,2.146166888764455,22.644204818966248
329.186426529066,66.93130111524124,684.9768966622435,222239.1858,Virginia,Limited_Exemption,6.44420857118596,1.3102583507931544,13.409222351837876
360.74816266802736,73.20382581982759,752.8551035683762,242951.6539,Washington,Limited_Exemption,7.697286006142812,1.561950530563338,16.063674477207968
96.27565061663586,19.557046165502847,200.93723680061652,64936.38677,West Virginia,Limited_Exemption,9.408378198720783,1.9111798839726433,19.636258035315212
218.48685686454883,44.088526694530906,459.2693447878255,146106.8702,Wisconsin,Limited_Exemption,6.264215219420104,1.2640578197017507,13.16766628766403
