median,lci,uci,current_uncontrolled,insurance_loss,disease
86557.5114748939,86487.40053824992,86635.17279172954,4640102.3463240005,4800000,diabetes
102960.0,102960.0,102960.0,71603313.1164,4800000,hypertension
28800.0,28800.0,28800.0,15086985.7068,4800000,cholesterol
99180.48189831618,99100.14645007737,99269.46882385763,4640102.3463240005,5500000,diabetes
117975.0,117975.0,117975.0,71603313.1164,5500000,hypertension
33000.0,33000.0,33000.0,15086985.7068,5500000,cholesterol
113606.73381079873,113514.7132064525,113708.66428914573,4640102.3463240005,6300000,diabetes
135135.0,135135.0,135135.0,71603313.1164,6300000,hypertension
37800.0,37800.0,37800.0,15086985.7068,6300000,cholesterol
