median,lci,uci,current_uncontrolled,insurance_loss,state,scenario,disease
395.13475253262186,393.6733948630664,396.77129200296156,9932.614293028426,22391.85751,Alaska,Full_Exemption,diabetes
480.30534358951263,480.30534358951263,480.30534358951263,153274.22505057036,22391.85751,Alaska,Full_Exemption,hypertension
134.3511450599981,134.3511450599981,134.35114506000173,32295.23805413355,22391.85751,Alaska,Full_Exemption,cholesterol
2662.9541319592317,2657.5165052667458,2669.005562683962,97451.9583563621,150585.2417,Arizona,Full_Exemption,diabetes
3230.0534344650805,3230.0534344650805,3230.0534344650805,1503820.9434162618,150585.2417,Arizona,Full_Exemption,hypertension
903.5114501999924,903.5114501999924,903.5114501999924,316858.59342884447,150585.2417,Arizona,Full_Exemption,cholesterol
1363.1054575468333,1359.908168947518,1366.6672981576862,40608.613333685906,76132.31552,Arkansas,Full_Exemption,diabetes
1633.0381679040147,1633.0381679040147,1633.0381679040147,626648.0863419502,76132.31552,Arkansas,Full_Exemption,hypertension
456.79389311998966,456.79389311998966,456.79389311998966,132036.21886134736,76132.31552,Arkansas,Full_Exemption,cholesterol
23837.88940898259,23818.445904705226,23859.426149372015,557017.8213884538,1299287.532,California,Full_Exemption,diabetes
27869.717561399564,27869.717561399564,27869.717561399564,8595569.34296713,1299287.532,California,Full_Exemption,hypertension
7795.725191999925,7795.725191999925,7795.725191999925,1811106.583969663,1299287.532,California,Full_Exemption,cholesterol
1941.377346219786,1938.1718107560168,1944.9387807554394,83388.41520924402,106361.3232,Colorado,Full_Exemption,diabetes
2281.450382639887,2281.450382639887,2281.450382639887,1286800.6692219083,106361.3232,Colorado,Full_Exemption,hypertension
638.1679392000078,638.1679392000078,638.1679392000078,271131.91358187364,106361.3232,Colorado,Full_Exemption,cholesterol
1924.430785600176,1920.286261714784,1929.0430473738404,50508.062082224875,103002.5445,Connecticut,Full_Exemption,diabetes
2209.4045795249986,2209.4045795249986,2209.4045795249986,779410.5203393262,103002.5445,Connecticut,Full_Exemption,hypertension
618.0152670000098,618.0152670000098,618.0152670000098,164223.62134239983,103002.5445,Connecticut,Full_Exemption,cholesterol
340.89682628642277,339.438199289847,342.532695502816,13456.34919109509,18473.28244,Delaware,Full_Exemption,diabetes
396.2519083379884,396.2519083379884,396.2519083379884,207650.41643896507,18473.28244,Delaware,Full_Exemption,hypertension
110.83969464000256,110.83969464000256,110.83969464000256,43752.428881788626,18473.28244,Delaware,Full_Exemption,cholesterol
892.0326362006927,889.1684935327927,895.2311193864115,10516.384808242663,46463.10433,District of Columbia,Full_Exemption,diabetes
996.6335878784885,996.6335878784885,996.6335878784885,162282.62613080128,46463.10433,District of Columbia,Full_Exemption,hypertension
278.77862597999774,278.77862597999774,278.77862597999774,34193.3292516404,46463.10433,District of Columbia,Full_Exemption,cholesterol
820.7120371168166,818.9766409868303,822.6427669977386,18575.828872282254,43104.3257,Hawaii,Full_Exemption,diabetes
924.5877862650086,924.5877862650086,924.5877862650086,286651.1968625906,43104.3257,Hawaii,Full_Exemption,hypertension
258.62595419999707,258.62595419999707,258.62595419999707,60398.078268706384,43104.3257,Hawaii,Full_Exemption,cholesterol
339.751133148,338.658191750182,340.97268106609,25126.711597638812,19033.07888,Idaho,Full_Exemption,diabetes
408.25954197597457,408.25954197597457,408.25954197597457,387740.5418732941,19033.07888,Idaho,Full_Exemption,hypertension
114.19847328000469,114.19847328000469,114.19847328000469,81697.83992648002,19033.07888,Idaho,Full_Exemption,cholesterol
4848.265979759119,4841.453082971248,4855.828429474576,177085.98940668924,264783.715,Illinois,Full_Exemption,diabetes
5679.610686750151,5679.610686750151,5679.610686750151,2732686.1783684613,264783.715,Illinois,Full_Exemption,hypertension
1588.7022900000447,1588.7022900000447,1588.7022900000447,575783.3753752945,264783.715,Illinois,Full_Exemption,cholesterol
1444.091293044352,1441.7179961251798,1446.7279780193826,93122.69660542141,78931.29771,Indiana,Full_Exemption,diabetes
1693.0763358795084,1693.0763358795084,1693.0763358795084,1437014.3383936288,78931.29771,Indiana,Full_Exemption,hypertension
473.58778626000276,473.58778626000276,473.58778626000276,302782.28534715256,78931.29771,Indiana,Full_Exemption,cholesterol
840.3981678609016,839.2124202563903,841.7142413829037,43042.46084996371,44783.71501,Iowa,Full_Exemption,diabetes
960.6106869644718,960.6106869644718,960.6106869644718,664205.7807155827,44783.71501,Iowa,Full_Exemption,hypertension
268.70229005999863,268.70229005999863,268.70229005999863,139949.7129935843,44783.71501,Iowa,Full_Exemption,cholesterol
2152.831539841918,2149.779699242906,2156.2190497584224,61500.93648547607,115877.8626,Kentucky,Full_Exemption,diabetes
2485.5801527700387,2485.5801527700387,2485.5801527700387,949046.0518850548,115877.8626,Kentucky,Full_Exemption,hypertension
695.2671755999909,695.2671755999909,695.2671755999909,199966.22497912525,115877.8626,Kentucky,Full_Exemption,cholesterol
2367.550267175946,2362.9002275981775,2372.7228180232983,62334.13279761289,130992.3664,Louisiana,Full_Exemption,diabetes
2809.786259280052,2809.786259280052,2809.786259280052,961903.4442381839,130992.3664,Louisiana,Full_Exemption,hypertension
785.9541983999952,785.9541983999952,785.9541983999952,202675.3076488481,130992.3664,Louisiana,Full_Exemption,cholesterol
483.0256624504218,481.5303208885013,484.6956569297652,18875.922962790868,26310.43257,Maine,Full_Exemption,diabetes
564.3587786264834,564.3587786264834,564.3587786264834,291282.0712535602,26310.43257,Maine,Full_Exemption,hypertension
157.86259542000334,157.86259542000334,157.86259542000334,61373.81434439562,26310.43257,Maine,Full_Exemption,cholesterol
2077.281953124744,2074.1423326777526,2080.768084676044,85962.6384286562,111959.2875,Maryland,Full_Exemption,diabetes
2401.5267168749124,2401.5267168749124,2401.5267168749124,1326524.5583635138,111959.2875,Maryland,Full_Exemption,hypertension
671.7557249999954,671.7557249999954,671.7557249999954,279501.8300230815,111959.2875,Maryland,Full_Exemption,cholesterol
2428.62835667334,2426.2225211805885,2431.2944466049566,100755.37579394618,125954.1985,Massachusetts,Full_Exemption,diabetes
2701.7175578249153,2701.7175578249153,2701.7175578249153,1554797.3261516336,125954.1985,Massachusetts,Full_Exemption,hypertension
755.7251909999759,755.7251909999759,755.7251909999759,327599.43661388935,125954.1985,Massachusetts,Full_Exemption,cholesterol
3563.327377266294,3559.6412306958096,3567.4132833272934,138568.50488756527,190330.7888,Michigan,Full_Exemption,diabetes
4082.595419759862,4082.595419759862,4082.595419759862,2138307.1542368364,190330.7888,Michigan,Full_Exemption,hypertension
1141.9847327999887,1141.9847327999887,1141.9847327999887,450546.32346796215,190330.7888,Michigan,Full_Exemption,cholesterol
1298.0342271055852,1296.4210696819675,1299.823594061358,78598.56251508993,68854.96183,Minnesota,Full_Exemption,diabetes
1476.9389312535059,1476.9389312535059,1476.9389312535059,1212886.497369071,68854.96183,Minnesota,Full_Exemption,hypertension
413.12977098001284,413.12977098001284,413.12977098001284,255558.0245292691,68854.96183,Minnesota,Full_Exemption,cholesterol
1312.278021105325,1309.7323690033045,1315.10968138161,83896.48989740215,73333.33333,Missouri,Full_Exemption,diabetes
1572.999999928521,1572.999999928521,1572.999999928521,1294640.9771003595,73333.33333,Missouri,Full_Exemption,hypertension
439.99999997997656,439.99999997997656,439.99999997997656,272783.8848070992,73333.33333,Missouri,Full_Exemption,cholesterol
414.45963561359986,412.86172637208426,416.2495210553187,14814.769128042599,22951.65394,Montana,Full_Exemption,diabetes
492.31297701300355,492.31297701300355,492.31297701300355,228612.74891119392,22951.65394,Montana,Full_Exemption,hypertension
137.70992364000267,137.70992364000267,137.70992364000267,48169.241409382,22951.65394,Montana,Full_Exemption,cholesterol
275.7621110517357,275.15754966519654,276.4351162467171,26264.955601865393,15114.50382,Nebraska,Full_Exemption,diabetes
324.2061069390038,324.2061069390038,324.2061069390038,405305.24966515315,15114.50382,Nebraska,Full_Exemption,hypertension
90.68702291999944,90.68702291999944,90.68702291999944,85398.7649796142,15114.50382,Nebraska,Full_Exemption,cholesterol
983.0369315051139,979.7411292078498,986.723255256606,43813.47762373199,55979.64377,Nevada,Full_Exemption,diabetes
1200.7633588664467,1200.7633588664467,1200.7633588664467,676103.6552342047,55979.64377,Nevada,Full_Exemption,hypertension
335.8778626199928,335.8778626199928,335.8778626199928,142456.6230092137,55979.64377,Nevada,Full_Exemption,cholesterol
281.7021962299059,280.8514204137555,282.651930044613,19708.4587888394,15114.50382,New Hampshire,Full_Exemption,diabetes
324.2061069390038,324.2061069390038,324.2061069390038,304129.2713762903,15114.50382,New Hampshire,Full_Exemption,hypertension
90.68702291999944,90.68702291999944,90.68702291999944,64080.749487311994,15114.50382,New Hampshire,Full_Exemption,cholesterol
2430.7196914857777,2426.9100073342074,2434.951076915465,129828.97809820161,133231.5522,New Jersey,Full_Exemption,diabetes
2857.8167946899775,2857.8167946899775,2857.8167946899775,2003443.9494017684,133231.5522,New Jersey,Full_Exemption,hypertension
799.389313200023,799.389313200023,799.389313200023,422130.3304759579,133231.5522,New Jersey,Full_Exemption,cholesterol
1183.6113061335072,1179.270742233059,1188.4711206887148,28088.306717758493,66615.77608,New Mexico,Full_Exemption,diabetes
1428.9083969159983,1428.9083969159983,1428.9083969159983,433442.12491659285,66615.77608,New Mexico,Full_Exemption,hypertension
399.69465648000187,399.69465648000187,399.69465648000187,91327.27046737574,66615.77608,New Mexico,Full_Exemption,cholesterol
14182.60646077976,14168.171283564934,14198.60617092079,281619.6210620883,757404.5802,New York,Full_Exemption,diabetes
16246.328245289624,16246.328245289624,16246.328245289624,4345787.3127746275,757404.5802,New York,Full_Exemption,hypertension
4544.427481199964,4544.427481199964,4544.427481199964,915667.5608856239,757404.5802,New York,Full_Exemption,cholesterol
3411.604374013259,3406.0347627307333,3417.793350678547,145136.67805877567,193689.5674,North Carolina,Full_Exemption,diabetes
4154.641220729798,4154.641220729798,4154.641220729798,2239663.3151744287,193689.5674,North Carolina,Full_Exemption,hypertension
1162.1374043999822,1162.1374043999822,1162.1374043999822,471902.30386618397,193689.5674,North Carolina,Full_Exemption,cholesterol
93.36958724256692,93.19935997840389,93.55881352340684,10532.024045835931,5038.167939,North Dakota,Full_Exemption,diabetes
108.06870229155174,108.06870229155174,108.06870229155174,162523.96158909774,5038.167939,North Dakota,Full_Exemption,hypertension
30.229007633999572,30.229007633999572,30.229007633999572,34244.17919770287,5038.167939,North Dakota,Full_Exemption,cholesterol
3281.862875697174,3277.419240226279,3286.7942519265293,160778.463300239,177455.4707,Ohio,Full_Exemption,diabetes
3806.4198465151712,3806.4198465151712,3806.4198465151712,2481038.0872699786,177455.4707,Ohio,Full_Exemption,hypertension
1064.7328242000076,1064.7328242000076,1064.7328242000076,522760.53343815607,177455.4707,Ohio,Full_Exemption,cholesterol
1175.56085834435,1173.2334430145895,1178.1511946981577,53477.5829518821,68854.96183,Oklahoma,Full_Exemption,diabetes
1476.9389312535059,1476.9389312535059,1476.9389312535059,825234.4088585523,68854.96183,Oklahoma,Full_Exemption,hypertension
413.12977098001284,413.12977098001284,413.12977098001284,173878.82193340734,68854.96183,Oklahoma,Full_Exemption,cholesterol
2395.832346268464,2391.8473801676864,2400.2596638624314,59259.38317653447,129872.7735,Oregon,Full_Exemption,diabetes
2785.770991574973,2785.770991574973,2785.770991574973,914455.7279077396,129872.7735,Oregon,Full_Exemption,hypertension
779.2366409999959,779.2366409999959,779.2366409999959,192677.96273641338,129872.7735,Oregon,Full_Exemption,cholesterol
3891.8020347176644,3887.555694249091,3896.509857438722,178158.4448009423,208244.2748,Pennsylvania,Full_Exemption,diabetes
4466.839694459923,4466.839694459923,4466.839694459923,2749235.6752688712,208244.2748,Pennsylvania,Full_Exemption,hypertension
1249.4656488000182,1249.4656488000182,1249.4656488000182,579270.3931168525,208244.2748,Pennsylvania,Full_Exemption,cholesterol
413.06715511978655,411.9861579706784,414.2720003852379,15584.582885676058,21832.06107,Rhode Island,Full_Exemption,diabetes
