median,lci,uci,efficiency,failure_to_report,insurance_loss
8453.840176951315,1730.7390856904387,17420.67503411804,0.0,0.5,5756573.365
8622.916980490321,1765.3538674040874,17769.08853480029,0.0,0.51,5871704.8323
8791.993784029328,1799.968649117963,18117.50203548276,0.0,0.52,5986836.2996000005
8961.070587568393,1834.5834308317253,18465.915536165114,0.0,0.53,6101967.7669
9130.147391107457,1869.1982125456068,18814.32903684736,0.0,0.54,6217099.234200001
9299.224194646464,1903.8129942594826,19162.74253752983,0.0,0.55,6332230.7015
9468.300998185528,1938.4277759731312,19511.15603821219,0.0,0.56,6447362.168800001
9637.377801724419,1973.042557687007,19859.569538894666,0.0,0.5700000000000001,6562493.636100001
9806.454605263541,2007.6573394007721,20207.983039576913,0.0,0.58,6677625.103399999
9975.53140880249,2042.2721211146477,20556.39654025927,0.0,0.59,6792756.5707
10144.608212341554,2076.886902828526,20904.810040941742,0.0,0.6,6907888.038
10313.685015880503,2111.5016845420614,21253.223541623986,0.0,0.61,7023019.5053
10482.761819419626,2146.1164662559404,21601.63704230634,0.0,0.62,7138150.9726
10651.83862295869,2180.731247969592,21950.0505429887,0.0,0.63,7253282.439900001
10820.915426497697,2215.3460296834673,22298.464043671178,0.0,0.64,7368413.9072
10989.992230036703,2249.960811397343,22646.877544353418,0.0,0.65,7483545.374500001
11159.069033575826,2284.5755931111084,22995.29104503578,0.0,0.66,7598676.8418000005
11328.145837114716,2319.1903748249842,23343.70454571825,0.0,0.67,7713808.309100001
11497.222640653723,2353.8051565387464,23692.118046400497,0.0,0.6799999999999999,7828939.7764
11666.299444192671,2388.419938252622,24040.531547082854,0.0,0.69,7944071.2436999995
11835.376247731794,2423.0347199664975,24388.945047765326,0.0,0.7,8059202.711
12004.4530512708,2457.6495016801523,24737.35854844757,0.0,0.71,8174334.1783
12173.529854809924,2492.264283394028,25085.77204912993,0.0,0.72,8289465.6456
12342.606658348872,2526.8790651079034,25434.1855498124,0.0,0.73,8404597.1129
12511.683461887937,2561.493846821666,25782.599050494646,0.0,0.74,8519728.5802
12680.760265427001,2596.1086285355414,26131.01255117701,0.0,0.75,8634860.0475
12849.837068966008,2630.7234102491902,26479.42605185925,0.0,0.76,8749991.514800001
13018.913872504956,2665.338191963072,26827.839552541725,0.0,0.77,8865122.9821
13187.990676043904,2699.9529736769477,27176.253053224194,0.0,0.78,8980254.4494
13357.06747958297,2734.567755390716,27524.66655390655,0.0,0.79,9095385.9167
13526.144283122092,2769.182537104591,27873.08005458891,0.0,0.8,9210517.384000001
13695.22108666104,2803.797318818467,28221.493555271387,0.0,0.81,9325648.851300001
13864.297890200163,2838.412100532116,28569.90705595363,0.0,0.8200000000000001,9440780.3186
14033.374693739053,2873.0268822459916,28918.320556635987,0.0,0.8300000000000001,9555911.7859
14202.451497278176,2907.6416639597537,29266.73405731823,0.0,0.8400000000000001,9671043.253200002
14371.528300817241,2942.256445673402,29615.147558000594,0.0,0.8500000000000001,9786174.720500002
14540.605104356306,2976.871227387281,29963.561058683066,0.0,0.86,9901306.1878
14709.681907895254,3011.4860091010432,30311.97455936531,0.0,0.87,10016437.655100001
14878.758711434202,3046.1007908149218,30660.38806004778,0.0,0.88,10131569.1224
15047.835514973383,3080.715572528684,31008.80156073014,0.0,0.89,10246700.5897
15216.912318512273,3115.3303542425624,31357.215061412382,0.0,0.9,10361832.057
8425.392388210108,1724.9150224425978,17362.053192123654,0.01,0.5,5737202.075795
8593.90023597423,1759.413322891493,17709.29425596607,0.01,0.51,5851946.1173109
8762.408083738526,1793.9116233403913,18056.535319808485,0.01,0.52,5966690.158826801
8930.915931502648,1828.4099237892865,18403.77638365101,0.01,0.53,6081434.200342701
9099.423779266886,1862.9082242381878,18751.017447493537,0.01,0.54,6196178.241858601
9267.931627031183,1897.4065246869695,19098.25851133607,0.01,0.55,6310922.283374501
9436.439474795246,1931.9048251358677,19445.499575178594,0.01,0.56,6425666.324890401
9604.947322559543,1966.403125584763,19792.740639020896,0.01,0.5700000000000001,6540410.366406301
9773.455170323723,2000.9014260335478,20139.98170286342,0.01,0.58,6655154.4079222
9941.963018087903,2035.3997264823324,20487.222766705952,0.01,0.59,6769898.4494381
10110.470865852083,2069.8980269311173,20834.463830548477,0.01,0.6,6884642.4909540005
10278.978713616321,2104.396327380126,21181.704894390776,0.01,0.61,6999386.5324699
10447.486561380501,2138.894627828911,21528.945958233307,0.01,0.62,7114130.5739858
10615.99440914474,2173.3929282776926,21876.187022075832,0.01,0.63,7228874.615501701
10784.50225690892,2207.891228726594,22223.428085918247,0.01,0.64,7343618.657017601
10953.0101046731,2242.389529175489,22570.66914976078,0.01,0.65,7458362.698533501
11121.517952437454,2276.8878296245007,22917.910213603303,0.01,0.66,7573106.740049401
11290.025800201576,2311.3861300732824,23265.151277445602,0.01,0.67,7687850.781565301
11458.533647965756,2345.8844305220673,23612.39234128813,0.01,0.6799999999999999,7802594.8230812
11627.041495729936,2380.3827309709686,23959.633405130662,0.01,0.69,7917338.8645971
11795.549343494175,2414.8810314197503,24306.874468973187,0.01,0.7,8032082.906113
11964.057191258355,2449.379331868535,24654.115532815485,0.01,0.71,8146826.9476289
12132.565039022593,2483.877632317544,25001.356596658017,0.01,0.72,8261570.9891448
12301.072886786773,2518.3759327663256,25348.59766050054,0.01,0.73,8376315.0306607
12469.580734550953,2552.8742332151132,25695.838724343066,0.01,0.74,8491059.0721766
12638.088582315191,2587.372533663898,26043.07978818548,0.01,0.75,8605803.1136925
12806.596430079371,2621.870834112907,26390.320852028013,0.01,0.76,8720547.155208401
12975.104277843493,2656.3691345619186,26737.561915870425,0.01,0.77,8835291.196724301
13143.612125607848,2690.8674350107003,27084.80297971284,0.01,0.78,8950035.238240201
13312.119973371911,2725.365735459482,27432.044043555255,0.01,0.79,9064779.2797561
13480.627821136091,2759.864035908267,27779.285107397893,0.01,0.8,9179523.321272
13649.135668900446,2794.3623363571683,28126.526171240195,0.01,0.81,9294267.3627879
13817.643516664568,2828.86063680595,28473.767235082723,0.01,0.8200000000000001,9409011.404303802
13986.151364428748,2863.358937254848,28821.008298925248,0.01,0.8300000000000001,9523755.445819702
14154.65921219287,2897.8572377037435,29168.249362767776,0.01,0.8400000000000001,9638499.487335602
14323.167059957166,2932.3555381525252,29515.49042661008,0.01,0.8500000000000001,9753243.528851502
14491.674907721346,2966.853838601313,29862.731490452607,0.01,0.86,9867987.570367401
14660.182755485584,3001.352139050098,30209.97255429513,0.01,0.87,9982731.611883301
14828.690603249765,3035.85043949922,30557.21361813766,0.01,0.88,10097475.653399201
14997.198451013886,3070.3487399481182,30904.45468197996,0.01,0.89,10212219.694915101
15165.706298778183,3104.8470403969,31251.69574582249,0.01,0.9,10326963.736431
8396.944599469018,1719.0909591950915,17303.431350129267,0.02,0.5,5717830.786590001
8564.883491458371,1753.4727783790092,17649.499977131738,0.02,0.51,5832187.402321801
8732.822383447725,1787.85459756293,17995.568604134318,0.02,0.52,5946544.018053601
8900.76127543702,1822.2364167467342,18341.637231136792,0.02,0.53,6060900.633785401
9068.700167426548,1856.6182359305358,18687.7058581396,0.02,0.54,6175257.249517201
9236.63905941596,1891.00005511457,19033.7744851423,0.02,0.55,6289613.865249001
9404.577951405256,1925.381874298488,19379.84311214477,0.02,0.56,6403970.480980801
9572.51684339461,1959.7636934824056,19725.91173914735,0.02,0.5700000000000001,6518327.096712601
9740.455735384021,1994.1455126663236,20071.980366149935,0.02,0.58,6632683.7124444
9908.394627373316,2028.5273318502384,20418.0489931524,0.02,0.59,6747040.3281762
10076.33351936267,2062.9091510341564,20764.117620155102,0.02,0.6,6861396.943908
10244.272411352082,2097.290970218074,21110.186247157682,0.02,0.61,6975753.5596398
10412.211303341493,2131.6727894017677,21456.25487416027,0.02,0.62,7090110.1753716
10580.150195330789,2166.054608585686,21802.323501162737,0.02,0.63,7204466.791103401
10748.089087320259,2200.436427769714,22148.392128165433,0.02,0.64,7318823.406835201
10916.027979309554,2234.818246953632,22494.460755168016,0.02,0.65,7433180.022567001
11083.966871298966,2269.2000661375496,22840.529382170484,0.02,0.66,7547536.638298801
11251.905763288494,2303.5818853212404,23186.59800917307,0.02,0.67,7661893.254030601
11419.84465527779,2337.9637045051613,23532.666636175763,0.02,0.6799999999999999,7776249.8697624
11587.783547267143,2372.3455236893033,23878.735263178347,0.02,0.69,7890606.4854942
11755.722439256555,2406.727342873221,24224.803890180818,0.02,0.7,8004963.101226
11923.661331245967,2441.1091620570282,24570.872517183627,0.02,0.71,8119319.7169578
