median,lci,uci,efficiency,failure_to_report,state,estimated_loss,per_capita_median,per_capita_lci,per_capita_uci
223.94179589170562,45.633135457771736,464.72689739093545,0.0,0.5,New Jersey,151611.5352,4.010609649944872,0.817251164283261,8.322868769733121
268.73015507004675,54.759762549327576,557.6722768691276,0.0,0.6,New Jersey,181933.84224,4.812731579933846,0.9807013971399399,9.987442523679837
313.51851424838605,63.886389640883415,650.6176563473091,0.0,0.7,New Jersey,212256.14928,5.614853509922788,1.1441516299966188,11.65201627762636
358.30687342673264,73.0130167324357,743.5630358254975,0.0,0.8,New Jersey,242578.45632000003,6.41697543991186,1.307601862853234,13.316590031573009
403.0952326050665,82.13964382399145,836.5084153036861,0.0,0.9,New Jersey,272900.76336000004,7.2190973699007035,1.4710520957099114,14.98116378551966
211.38727429087703,43.074871679738415,438.67359256434753,0.1,0.5,New Jersey,143111.95929000003,3.785768702848629,0.7714348067139641,7.85627594218878
253.6647291490517,51.689846015686186,526.408311077215,0.1,0.6,New Jersey,171734.35114800002,4.542922443418342,0.9257217680567585,9.4275311306265
295.94218400723,60.304820351633865,614.1430295900824,0.1,0.7,New Jersey,200356.74300600003,5.30007618398812,1.0800087293995513,10.998786319064218
338.2196388654047,68.91979468758154,701.8777481029534,0.1,0.8,New Jersey,228979.13486400005,6.0572299245578325,1.2342956907423441,12.570041507502001
380.49709372357574,77.53476902352577,789.6124666158244,0.1,0.9,New Jersey,257601.52672200007,6.8143836651274805,1.388582652085075,14.141296695939783
198.83275269005026,40.516607901697995,412.6202877377526,0.2,0.5,New Jersey,134612.38338,3.5609277557524193,0.7256184491445402,7.3896831146443125
238.59930322805485,48.61992948204461,495.1443452853059,0.2,0.6,New Jersey,161534.860056,4.273113306902806,0.870742138973574,8.867619737573225
278.36585376606854,56.723251062380776,577.6684028328559,0.2,0.7,New Jersey,188457.336732,4.985298858053355,1.0158658288024205,10.345556360502078
318.1324043040804,64.8265726427203,660.1924603804057,0.2,0.8,New Jersey,215379.81340800005,5.697484409203871,1.160989518631327,11.823492983430928
357.898954842085,72.92989422305992,742.7165179279591,0.2,0.9,New Jersey,242302.29008400004,6.4096699603542575,1.3061132084602356,13.301429606359841
186.27823108921802,37.95834412366813,386.56698291116123,0.30000000000000004,0.5,New Jersey,126112.80747000001,3.3360868086561117,0.6798020915753054,6.923090287099909
223.53387730706163,45.55001294839977,463.88037949339696,0.30000000000000004,0.6,New Jersey,151335.36896400002,4.003304170387334,0.8157625098903308,8.307708344519954
260.78952352490523,53.14168177312759,541.1937760756257,0.30000000000000004,0.7,New Jersey,176557.93045800002,4.670521532118556,0.9517229282052879,9.692326401939871
298.04516974274884,60.73335059786269,618.507172657858,0.30000000000000004,0.8,New Jersey,201780.49195200004,5.337738893849779,1.0876833465203755,11.076944459359854
335.30081596059426,68.32501942259415,695.8205692400937,0.30000000000000004,0.9,New Jersey,227003.05344600003,6.004956255581034,1.2236437648353977,12.4615625167799
173.72370948838943,35.4000803456278,360.5136780845733,0.4,0.5,New Jersey,117613.23156,3.1112458615598695,0.6339857340058831,6.4564974595555675
208.4684513860666,42.48009641475465,432.6164137014844,0.4,0.6,New Jersey,141135.87787199998,3.7334950338718302,0.7607828808070828,7.747796951466617
243.21319328374557,49.560112483878136,504.71914931840263,0.4,0.7,New Jersey,164658.52418399998,4.355744206183823,0.8875800276082223,9.039096443377794
277.9579351814191,56.640128553004985,576.8218849353173,0.4,0.8,New Jersey,188181.170496,4.97799337849572,1.0143771744094219,10.330395935288907
312.70267707909807,63.72014462212847,648.9246205522282,0.4,0.9,New Jersey,211703.816808,5.600242550807713,1.1411743212105614,11.621695427199954
161.16918788755902,32.84181656759429,334.46037325797823,0.5,0.5,New Jersey,109113.65565,2.8864049144635944,0.588169376436583,5.989904632011097
193.40302546507155,39.41017988111326,401.3524479095753,0.5,0.6,New Jersey,130936.38678,3.4636858973563265,0.7058032517239015,7.187885558413342
225.63686304258772,45.97854319462849,468.2445225611689,0.5,0.7,New Jersey,152759.11791,4.040966880249123,0.8234371270111531,8.385866484815525
257.8707006200948,52.54690650814383,535.1365972127695,0.5,0.8,New Jersey,174581.84904,4.618247863141757,0.9410710022984066,9.583847411217834
290.1045381976037,59.11526982166279,602.0286718643666,0.5,0.9,New Jersey,196404.58017,5.195528846034424,1.058704877585725,10.781828337620079
148.61466628673043,30.283552789553873,308.40706843139384,0.6000000000000001,0.5,New Jersey,100614.07974,2.661563967367352,0.542353018867159,5.523311804466818
