median,lci,uci,efficiency,failure_to_report,state,estimated_loss,per_capita_median,per_capita_lci,per_capita_uci
2032.5822714959286,413.3029301103965,4226.990185886301,0.0,0.5,California,1372278.7675,8.484493463012344,1.7252270955727123,17.64448657420138
2439.0987257950983,495.9635161324867,5072.388223063575,0.0,0.6,California,1646734.521,10.181392155614747,2.0702725146873,21.173383889041716
2845.615180094297,578.6241021545637,5917.786260240836,0.0,0.7,California,1921190.2745,11.87829084821727,2.415317933801833,24.70228120388199
3252.1316343934814,661.2846881766687,6763.184297418082,0.0,0.8,California,2195646.0280000004,13.575189540819732,2.760363352916483,28.231178518722206
3658.648088692673,743.9452741987305,7608.582334595356,0.0,0.9,California,2470101.7815,15.272088233422226,3.1054087720309522,31.760075833562542
1925.5475255246565,391.53860856046236,4004.3990381063973,0.1,0.5,California,1300015.26735,8.03770436362692,1.6343775164403456,16.715336908405533
2310.6570306295907,469.8463302725719,4805.27884572765,0.1,0.6,California,1560018.32082,9.645245236352316,1.9612530197284859,20.058404290086525
2695.7665357345104,548.1540519846524,5606.158653348919,0.1,0.7,California,1820021.37429,11.252786109077652,2.288128523016505,23.401471671767588
3080.876040839452,626.461773696762,6407.038460970187,0.1,0.8,California,2080024.4277600003,12.860326981803079,2.6150040263046455,26.744539053448648
3465.985545944379,704.7694954088431,7207.918268591483,0.1,0.9,California,2340027.48123,14.467867854528444,2.9418795295926676,30.08760643512982
1818.5127795533845,369.7742870105274,3781.8078903264636,0.2,0.5,California,1227751.7672000001,7.590915264241497,1.5435279373079756,15.786187242609559
2182.2153354640686,443.72914441264186,4538.16946839174,0.2,0.6,California,1473302.12064,9.109098317089826,1.852233524769608,18.943424691131405
2545.9178913747382,517.6840018147559,5294.53104645703,0.2,0.7,California,1718852.47408,10.627281369938096,2.160939112231239,22.100662139653302
2909.620447285415,591.6388592168416,6050.892624522335,0.2,0.8,California,1964402.8275200003,12.145464422786395,2.4696446996927515,25.257899588175263
3273.323003196092,665.5937166189561,6807.254202587625,0.2,0.9,California,2209953.1809600005,13.663647475634695,2.7783502871543844,28.415137036697164
1711.4780335821051,348.0099654605936,3559.2167425465313,0.30000000000000004,0.5,California,1155488.2670500001,7.144126164856043,1.4526783581756104,14.85703757681359
2053.773640298532,417.61195855269835,4271.060091055829,0.30000000000000004,0.6,California,1386585.9204600002,8.572951397827277,1.743214029810674,17.82844509217627
2396.069247014959,487.213951644817,4982.9034395651415,0.30000000000000004,0.7,California,1617683.5738700002,10.001776630798508,2.033749701445796,20.799852607539016
2738.3648537313857,556.8159447369501,5694.746788074453,0.30000000000000004,0.8,California,1848781.2272800002,11.430601863769741,2.324285373080978,23.771260122901758
3080.660460447798,626.4179378290542,6406.590136583765,0.30000000000000004,0.9,California,2079878.8806900003,12.859427096740914,2.614821044716039,26.7426676382645
1604.4432876108403,326.2456439106449,3336.6255947666273,0.4,0.5,California,1083224.7669,6.697337065470649,1.361828779043183,13.927887911017741
1925.3319451330026,391.49477269278253,4003.950713719947,0.4,0.6,California,1299869.7202799998,8.036804478564756,1.6341945348518556,16.713465493221268
2246.2206026551794,456.7439014749056,4671.275832673238,0.4,0.7,California,1516514.6736599999,9.376271891658922,1.9065602906604675,19.499043075424673
2567.1092601773344,521.9930302570291,5338.600951626587,0.4,0.8,California,1733159.62704,10.715739304752997,2.178926046469081,22.284620657628317
2887.9979176995184,587.242159039138,6005.926070579907,0.4,0.9,California,1949804.58042,12.055206717847193,2.4512918022776335,25.070198239831843
1497.4085416395537,304.4813223607107,3114.034446986666,0.5,0.5,California,1010961.26675,6.250547966085165,1.270979199910816,12.998738245221652
1796.8902499674878,365.3775868328387,3736.841336384036,0.5,0.6,California,1213153.5200999998,7.5006575593022955,1.52517503989292,15.598485894266137
2096.3719582953854,426.273851304995,4359.648225781363,0.5,0.7,California,1415345.7734499997,8.750767152519273,1.7793708798751424,18.198233543310444
2395.853666623305,487.170115777123,4982.4551151787055,0.5,0.8,California,1617538.0268,10.000876745736344,2.0335667198572467,20.79798119235481
2695.335374951217,548.0663802492509,5605.262004576019,0.5,0.9,California,1819730.28015,11.250986338953382,2.2877625598393503,23.397728841399058
1390.373795668289,282.71700081077654,2891.443299206776,0.6000000000000001,0.5,California,938697.7666,5.803758866699772,1.1801296207784493,12.069588579425861
1668.448554801951,339.26040097290866,3469.731959048111,0.6000000000000001,0.6,California,1126437.31992,6.9645106400397445,1.4161555449340424,14.483506295310951
1946.523313935606,395.803801135056,4048.020618889461,0.6000000000000001,0.7,California,1314176.8732399999,8.125262413379687,1.652181469089699,16.8974240111961
2224.5980730692827,452.3472012972168,4626.309278730811,0.6000000000000001,0.8,California,1501916.42656,9.28601418671972,1.8882073932454118,19.31134172708125
2502.6728322029157,508.8906014593639,5204.597938572159,0.6000000000000001,0.9,California,1689655.97988,10.44676596005957,2.1242333174010675,21.725259442966397
1283.339049697017,260.9526792608282,2668.852151426829,0.7000000000000001,0.5,California,866434.26645,5.356969767314348,1.0892800416460233,11.140438913629835
1540.0068596364144,313.1432151129655,3202.6225817122,0.7000000000000001,0.6,California,1039721.11974,6.4283637207771935,1.3071360499751097,13.368526696355822
1796.6746695758266,365.33375096514504,3736.393011997586,0.7000000000000001,0.7,California,1213007.97303,7.4997576742401,1.5249920583043723,15.596614479081873
2053.3424795152314,417.52428681729657,4270.1634422829575,0.7000000000000001,0.8,California,1386294.82632,8.571151627702976,1.7428480666335182,17.824702261807865
