median,lci,uci,efficiency,failure_to_report,state,estimated_loss,per_capita_median,per_capita_lci,per_capita_uci
25.97812190273362,5.362821006785959,53.10414607249351,0.0,0.5,Alaska,17882.386205,6.081224769282327,1.2553840520804784,12.431162254791495
31.173746283280025,6.435385208143015,63.72497528699213,0.0,0.6,Alaska,21458.863446,7.297469723138718,1.5064608624965425,14.917394705749773
36.369370663826885,7.507949409500072,74.34580450149119,0.0,0.7,Alaska,25035.340686999996,8.513714676995216,1.7575376729126067,17.403627156708158
41.564995044373404,8.580513610857793,84.9666337159898,0.0,0.8,Alaska,28611.817928,9.729959630851633,2.0086144833288264,19.889859607666434
46.76061942492015,9.653077812214855,95.58746293048841,0.0,0.9,Alaska,32188.295168999997,10.946204584708104,2.2596912937448916,22.376092058624714
25.006766040365505,5.162298134375425,51.11851278473326,0.1,0.5,Alaska,17213.740459999997,5.853839843145732,1.2084436049197367,11.966344883564652
30.008119248438447,6.1947577612500995,61.342215341680394,0.1,0.6,Alaska,20656.488551999995,7.024607811774841,1.4501323259035879,14.359613860277694
35.00947245651173,7.227217388125235,71.56591789862664,0.1,0.7,Alaska,24099.236643999993,8.19537578040403,1.691821046887547,16.75288283699053
40.010825664584786,8.259677015000364,81.78962045557334,0.1,0.8,Alaska,27541.984736,9.366143749033165,1.9335097678715047,19.146151813703472
45.01217887265784,9.292136641875487,92.01332301252005,0.1,0.9,Alaska,30984.732827999997,10.536911717662301,2.175198488855461,21.539420790416415
24.03541017799762,4.96177526196422,49.132879496973445,0.2,0.5,Alaska,16545.094715,5.626454917009189,1.1615031577588377,11.501527512337908
28.842492213596984,5.954130314357411,58.95945539636821,0.2,0.6,Alaska,19854.113658,6.75174590041099,1.3938037893106865,13.801833014805508
33.64957424919646,6.9464853667503865,68.78603129576256,0.2,0.7,Alaska,23163.132600999998,7.877036883812817,1.6261044208624849,16.10213851727301
38.456656284796054,7.938840419143367,78.61260719515711,0.2,0.8,Alaska,26472.151544,9.002327867214671,1.8584050524142843,18.40244401974056
43.26373832039599,8.931195471536348,88.43918309455188,0.2,0.9,Alaska,29781.170487,10.127618850616605,2.090705683966084,20.702749522208162
23.064054315629733,4.761252389553903,47.1472462092134,0.30000000000000004,0.5,Alaska,15876.44897,5.399069990872646,1.1145627105981466,11.036710141111113
27.676865178755747,5.713502867464519,56.5766954510556,0.30000000000000004,0.6,Alaska,19051.738763999998,6.478883989047191,1.3374752527177374,13.244052169333223
32.289676041881535,6.665753345375328,66.00614469289823,0.30000000000000004,0.7,Alaska,22227.028557999998,7.5586979872216835,1.5603877948373734,15.451394197555434
36.90248690500732,7.618003823286376,75.43559393474088,0.30000000000000004,0.8,Alaska,25402.318352000002,8.638511985396175,1.7833003369570652,17.65873622577765
41.51529776813322,8.57025430119698,84.86504317658328,0.30000000000000004,0.9,Alaska,28577.608146,9.718325983570693,2.0062128790766534,19.866078253999806
22.092698453261733,4.560729517143148,45.16161292145248,0.4,0.5,Alaska,15207.803225,5.171685064736077,1.0676222634373531,10.571892769884112
26.511238143914284,5.472875420571598,54.193935505743426,0.4,0.6,Alaska,18249.363869999997,6.206022077683341,1.2811467161247816,12.68627132386104
30.929777834566494,6.385021324000497,63.226258090033916,0.4,0.7,Alaska,21290.924515,7.240359090630523,1.494671168812315,14.800649877837861
35.34831752521882,7.297167227429385,72.2585806743244,0.4,0.8,Alaska,24332.48516,8.274696103577734,1.7081956214998462,16.915028431814683
39.76685721587103,8.20931313085784,81.29090325861513,0.4,0.9,Alaska,27374.045805,9.309033116524917,1.921720074187276,19.029406985791557
21.121342590893846,4.360206644732386,43.17597963369266,0.5,0.5,Alaska,14539.15748,4.944300138599535,1.0206818162765579,10.10707539865737
25.345611109072593,5.232247973678693,51.81117556043146,0.5,0.6,Alaska,17446.988976,5.9331601663194355,1.2248181795318296,12.128490478388905
29.569879627251225,6.104289302625654,60.44637148716981,0.5,0.7,Alaska,20354.820472,6.922020194039311,1.4289545427872543,14.149905558120338
33.794148145430086,6.976330631571961,69.08156741390839,0.5,0.8,Alaska,23262.651968000002,7.910880221759239,1.6330909060425258,16.17132063785182
38.018416663608946,7.848371960518478,77.71676334064696,0.5,0.9,Alaska,26170.483464,8.899740249479168,1.8372272692978469,18.192735717583304
20.14998672852596,4.159683772321632,41.19034634593285,0.6000000000000001,0.5,Alaska,13870.511735,4.716915212462991,0.9737413691157643,9.642258027430628
24.179984074231243,4.991620526786443,49.42841561511928,0.6000000000000001,0.6,Alaska,16644.614082,5.660298254955611,1.1684896429390306,11.57070963291672
28.20998141993607,5.823557281250602,57.666484884305724,0.6000000000000001,0.7,Alaska,19418.716429,6.603681297448125,1.3632379167621442,13.499161238402817
